utc_timestamp,wind_onshore_generation,wind_onshore_installed_capacity,wind_onshore_capacity_factor,wind_offshore_generation,wind_offshore_installed_capacity,wind_offshore_capacity_factor,solar_photovoltaic_generation,solar_photovoltaic_installed_capacity,solar_photovoltaic_capacity_factor
2016-11-30 00:00:00+00:00,1925.6820833333334,4487.0885,0.42916070929586825,1137.615,1700.8,0.6688705315145814,5.33,0.0,5.33
2016-12-01 00:00:00+00:00,2685.375,4487.0885,0.5984671352035958,1143.6095833333334,1700.8,0.6723950983850737,7.172499999999999,0.0,7.172499999999999
2016-12-02 00:00:00+00:00,602.7104166666667,4487.0885,0.13432104507559114,643.3100000000001,1700.8,0.37823965192850423,38.444583333333334,0.0,38.444583333333334
2016-12-03 00:00:00+00:00,459.11291666666665,4487.0885,0.10231866758738249,204.84375,1700.8,0.12043964604891816,30.864166666666666,0.0,30.864166666666666
2016-12-04 00:00:00+00:00,798.11875,4487.0885,0.1778700709825536,492.52458333333334,1700.8,0.28958406828159294,23.895833333333332,0.0,23.895833333333332
2016-12-05 00:00:00+00:00,1361.0891666666666,4487.0885,0.30333459361603116,692.3029166666666,1700.8,0.4070454589996864,13.932083333333333,0.0,13.932083333333333
2016-12-06 00:00:00+00:00,234.30625,4487.0885,0.05221788025798912,166.96958333333333,1700.8,0.09817120374725619,19.169583333333332,0.0,19.169583333333332
2016-12-07 00:00:00+00:00,1744.5933333333332,4487.0885,0.3888029695276421,987.91,1700.8,0.5808501881467545,3.3816666666666664,0.0,3.3816666666666664
2016-12-08 00:00:00+00:00,1931.7166666666665,4487.0885,0.43050558656613674,959.1920833333334,1700.8,0.5639652418469739,11.137500000000001,0.0,11.137500000000001
2016-12-09 00:00:00+00:00,1482.03125,4487.0885,0.33028794729589134,909.8725,1700.8,0.5349673682972719,9.275833333333333,0.0,9.275833333333333
2016-12-10 00:00:00+00:00,1436.3420833333332,4487.0885,0.3201055836837926,954.5066666666667,1700.8,0.5612104107870807,5.124583333333333,0.0,5.124583333333333
2016-12-11 00:00:00+00:00,1083.6045833333333,4487.0885,0.2414939182352506,758.69,1700.8,0.4460783160865475,13.576666666666668,0.0,13.576666666666668
2016-12-12 00:00:00+00:00,340.0420833333333,4487.0885,0.07578234379226827,343.70875,1700.8,0.20208651810912515,17.5175,0.0,17.5175
2016-12-13 00:00:00+00:00,258.20625,4487.0885,0.05754427397632117,225.72208333333333,1700.8,0.13271524184697397,4.807916666666666,0.0,4.807916666666666
2016-12-14 00:00:00+00:00,148.60791666666668,4487.0885,0.03311900727312748,99.63166666666666,1700.8,0.058579296017560366,21.83,0.0,21.83
2016-12-15 00:00:00+00:00,496.27250000000004,4487.0885,0.11060011408288471,426.03625000000005,1700.8,0.25049168038570085,9.84,0.0,9.84
